model,clustering_method,k,n_seeds,n_samples,silhouette_mean,silhouette_std,silhouette_min,silhouette_max,davies_bouldin_mean,davies_bouldin_std,davies_bouldin_min,davies_bouldin_max,calinski_harabasz_mean,calinski_harabasz_std,calinski_harabasz_min,calinski_harabasz_max,xie_beni_mean,xie_beni_std,xie_beni_min,xie_beni_max
baseline,bisecting_kmeans,6,1,704,0.07349831402889283,0.0767766797499463,0.0171155402642245,0.1868193283313764,2.7163269537424117,0.46366091666173936,2.057389540480491,3.109099281716157,0.0,0.0,0.0,0.0,inf,,inf,inf
baseline,gmm,6,1,704,0.0950410339769648,0.041741206538727,0.051107267018918,0.1424062324823702,2.4099410941588784,0.281978990389796,2.106358457229348,2.7319514259357613,0.0,0.0,0.0,0.0,inf,,inf,inf
baseline,kmeans,6,1,704,0.10811138387348841,0.036684391404865846,0.0610146849781941,0.1498939593282221,2.3994642689783916,0.5786137581362971,1.7992041576115598,3.128199609397331,0.0,0.0,0.0,0.0,inf,,inf,inf
dae_kan_attention,bisecting_kmeans,6,6,704,0.050805423773435,0.04118700250693,-0.0014774572216659,0.1185047429024311,4.158134152256671,1.4330802094270514,2.142757784916654,5.994751447442794,10.999480728065228,11.41386536544865,0.0,29.738238126530973,inf,,8.852506255567414,inf
dae_kan_attention,gmm,6,6,704,0.0554464632983877,0.05143983149503213,0.0133240328729538,0.1797226755402964,3.3414125825023855,1.1138848847110345,1.5494897959760647,4.922896554925514,9.7789764168959,11.198599831232572,0.0,29.45129758222457,inf,,5.690140214448137,inf
dae_kan_attention,kmeans,6,6,704,0.0727087884259255,0.06975734412019213,0.0133240328729538,0.2347951203083652,3.3128819142812884,1.1916793461236797,1.4989375248703247,4.922896554925514,10.977472205884087,11.368414981242855,0.0,29.57076373475357,inf,,5.156675850239382,inf
no_bam,bisecting_kmeans,6,1,704,0.05969482185295075,0.035982558079384656,0.0245418024763033,0.1027281589546653,3.5929019374213684,1.0114781070570447,2.364556621876293,4.497444139396612,29.33248868535225,58.6649773707045,0.0,117.329954741409,inf,,4.967311554186154,inf
no_bam,gmm,6,1,704,0.07590709209143685,0.046603104459762554,0.0274830058836969,0.1229153503650894,3.0246574916603595,1.0363307801771717,1.897330611344709,4.122029883155943,28.90917408968714,57.81834817937428,0.0,115.63669635874857,inf,,1.9960546140490647,inf
no_bam,kmeans,6,1,704,0.07176027593096072,0.05420899451081061,0.008760492881206,0.1250505987256758,2.991087676427753,0.9582959692843612,1.9427500225076195,3.942331211062608,30.64397088547525,61.28794177095051,0.0,122.575883541901,inf,,1.856359836210865,inf
no_eka,bisecting_kmeans,6,1,704,0.387644681499754,0.23554051805285553,0.2403666547812256,0.6593019333599954,2.1613774591769395,0.5998775383581542,1.590813488521592,2.786800044211766,,,,,inf,,inf,inf
no_eka,gmm,6,1,704,0.4525507538201352,0.25820652819759704,0.2112182769686955,0.7248401696179787,1.837776447490252,0.4861952926956924,1.5116551931538058,2.396588964410081,,,,,inf,,inf,inf
no_eka,kmeans,6,1,704,0.48468945905764294,0.24085314312796507,0.2352273600448644,0.7158946012895588,1.8184531877259704,0.425528601684164,1.4024512942997964,2.2529081239174027,,,,,inf,,inf,inf
no_kan,bisecting_kmeans,6,1,704,0.16253078237479612,0.05376979109074152,0.1005002231217424,0.2276224173906955,2.169024358291464,0.1582789227404244,1.973992107529855,2.321705557251446,,,,,inf,,inf,inf
no_kan,gmm,6,1,704,0.06141179276947043,0.06398880760822125,-0.0280739989844184,0.1238603185873212,2.1554417803940584,0.4046051088703517,1.7847963994379965,2.6851970760633943,,,,,inf,,inf,inf
no_kan,kmeans,6,1,704,0.14844742979983272,0.017691637494073056,0.1311337345468745,0.1707303282103924,1.7985918674291446,0.32849472215554365,1.455698290379712,2.239562946023985,,,,,inf,,inf,inf
