model,seed,experiment_dir,clustering_method,k,n_samples,embedding_dim,silhouette,davies_bouldin,calinski_harabasz,xie_beni
baseline,-1,auto_analysis/baseline_baseline_20251005_100438,bisecting_kmeans,6,704,4096,0.01711554026422452,3.109099281716157,0.0,inf
baseline,-1,auto_analysis/baseline_baseline_20251005_100438,kmeans,6,704,4096,0.14989395932822216,3.128199609397331,0.0,inf
baseline,-1,auto_analysis/baseline_baseline_20251005_100438,gmm,6,704,4096,0.1424062324823702,2.5465243521229755,0.0,inf
baseline,-1,auto_analysis/baseline_baseline_20251006_032930,bisecting_kmeans,6,704,4096,0.1868193283313764,2.057389540480491,,inf
baseline,-1,auto_analysis/baseline_baseline_20251006_032930,kmeans,6,704,4096,0.10532642823800366,1.7992041576115598,,inf
baseline,-1,auto_analysis/baseline_baseline_20251006_032930,gmm,6,704,4096,0.07044017345703728,2.2549301413474283,,inf
baseline,-1,auto_analysis/baseline_baseline_20251006_035335,bisecting_kmeans,6,704,4096,0.04042894471428517,2.952010164969496,0.0,inf
baseline,-1,auto_analysis/baseline_baseline_20251006_035335,kmeans,6,704,4096,0.11621046294953383,2.106358457229348,,inf
baseline,-1,auto_analysis/baseline_baseline_20251006_035335,gmm,6,704,4096,0.11621046294953383,2.106358457229348,,inf
baseline,-1,auto_analysis/baseline_baseline_20251006_053813,bisecting_kmeans,6,6304,4096,0.04962944280568533,2.7468088278035037,0.0,inf
baseline,-1,auto_analysis/baseline_baseline_20251006_053813,kmeans,6,6304,4096,0.06101468497819419,2.5640948516753284,0.0,inf
baseline,-1,auto_analysis/baseline_baseline_20251006_053813,gmm,6,6304,4096,0.051107267018918004,2.7319514259357613,0.0,inf
dae_kan_attention,-1,auto_analysis/baseline_dae_kan_attention_20251005_094706,bisecting_kmeans,6,704,4096,0.061928726222747546,3.855911646386989,0.0,inf
dae_kan_attention,-1,auto_analysis/baseline_dae_kan_attention_20251005_094706,kmeans,6,704,4096,0.04508762313554182,3.9494223123548906,0.0,inf
dae_kan_attention,-1,auto_analysis/baseline_dae_kan_attention_20251005_094706,gmm,6,704,4096,0.033226616049236685,3.63200931017937,0.0,inf
dae_kan_attention,-1,auto_analysis/baseline_dae_kan_attention_20251006_032654,bisecting_kmeans,6,704,4096,0.11850474290243117,2.2491145826406114,,inf
dae_kan_attention,-1,auto_analysis/baseline_dae_kan_attention_20251006_032654,kmeans,6,704,4096,0.1385819396853247,1.6800583895611967,,inf
dae_kan_attention,-1,auto_analysis/baseline_dae_kan_attention_20251006_032654,gmm,6,704,4096,0.07807109535583022,2.1767657177276187,0.0,inf
dae_kan_attention,-1,auto_analysis/baseline_dae_kan_attention_20251006_034547,bisecting_kmeans,6,704,4096,0.06413363530132507,2.372008855755925,,inf
dae_kan_attention,-1,auto_analysis/baseline_dae_kan_attention_20251006_034547,kmeans,6,704,4096,0.13338878247309605,1.9088377079161927,,inf
dae_kan_attention,-1,auto_analysis/baseline_dae_kan_attention_20251006_034547,gmm,6,704,4096,0.0786072288894465,2.1775520816411054,,inf
dae_kan_attention,-1,auto_analysis/baseline_dae_kan_attention_20251006_043903,bisecting_kmeans,6,6304,4096,0.032977959348006895,4.436931768649892,0.0,inf
dae_kan_attention,-1,auto_analysis/baseline_dae_kan_attention_20251006_043903,kmeans,6,6304,4096,0.042449623837287995,3.7297016477838234,0.0,inf
dae_kan_attention,-1,auto_analysis/baseline_dae_kan_attention_20251006_043903,gmm,6,6304,4096,0.04241379117591878,3.7641384387704835,0.0,inf
dae_kan_attention,-1,auto_analysis/baseline_dae_kan_attention_20251127_125432,bisecting_kmeans,6,704,4096,0.09261930297926453,3.4794081943524695,0.0,inf
dae_kan_attention,-1,auto_analysis/baseline_dae_kan_attention_20251127_125432,kmeans,6,704,4096,0.08782367927716306,3.0942676464897887,0.0,inf
dae_kan_attention,-1,auto_analysis/baseline_dae_kan_attention_20251127_125432,gmm,6,704,4096,0.10464208372597056,2.2569326714626157,0.0,inf
dae_kan_attention,-1,auto_analysis/baseline_dae_kan_attention_20260331_091654,bisecting_kmeans,6,110,4096,0.10929589992818964,2.142757784916654,0.0,inf
dae_kan_attention,-1,auto_analysis/baseline_dae_kan_attention_20260331_091654,kmeans,6,110,4096,0.23479512030836525,1.4989375248703247,0.0,inf
dae_kan_attention,-1,auto_analysis/baseline_dae_kan_attention_20260331_091654,gmm,6,110,4096,0.17972267554029642,1.5494897959760647,0.0,inf
no_bam,-1,auto_analysis/baseline_no_bam_20251005_102023,bisecting_kmeans,6,704,4096,0.024541802476303335,4.342089985457613,0.0,inf
no_bam,-1,auto_analysis/baseline_no_bam_20251005_102023,kmeans,6,704,4096,0.008760492881206028,3.942331211062608,0.0,inf
no_bam,-1,auto_analysis/baseline_no_bam_20251005_102023,gmm,6,704,4096,0.027483005883696933,4.122029883155943,0.0,inf
no_bam,-1,auto_analysis/baseline_no_bam_20251006_033245,bisecting_kmeans,6,704,4096,0.07531969404942801,2.3645566218762926,117.32995474140901,4.967311554186154
no_bam,-1,auto_analysis/baseline_no_bam_20251006_033245,kmeans,6,704,4096,0.12505059872567584,1.9427500225076193,122.575883541901,1.856359836210865
no_bam,-1,auto_analysis/baseline_no_bam_20251006_033245,gmm,6,704,4096,0.1229153503650894,1.897330611344709,115.63669635874857,1.9960546140490651
no_bam,-1,auto_analysis/baseline_no_bam_20251006_040246,bisecting_kmeans,6,704,4096,0.10272815895466532,3.167517002954955,0.0,inf
no_bam,-1,auto_analysis/baseline_no_bam_20251006_040246,kmeans,6,704,4096,0.10791897769560753,2.428732222804698,0.0,inf
no_bam,-1,auto_analysis/baseline_no_bam_20251006_040246,gmm,6,704,4096,0.10791897769560753,2.428732222804698,0.0,inf
no_bam,-1,auto_analysis/baseline_no_bam_20251006_062417,bisecting_kmeans,6,6304,4096,0.036189631931406445,4.497444139396612,0.0,inf
no_bam,-1,auto_analysis/baseline_no_bam_20251006_062417,kmeans,6,6304,4096,0.045311034421353626,3.6505372493360877,0.0,inf
no_bam,-1,auto_analysis/baseline_no_bam_20251006_062417,gmm,6,6304,4096,0.045311034421353626,3.6505372493360877,0.0,inf
no_eka,-1,auto_analysis/baseline_no_eka_20251005_105025,bisecting_kmeans,6,704,4096,0.24036665478122562,2.7868000442117666,,
no_eka,-1,auto_analysis/baseline_no_eka_20251005_105025,kmeans,6,704,4096,0.2352273600448644,2.2529081239174027,,
no_eka,-1,auto_analysis/baseline_no_eka_20251005_105025,gmm,6,704,4096,0.21121827696869555,2.396588964410081,,
no_eka,-1,auto_analysis/baseline_no_eka_20251006_033907,bisecting_kmeans,6,704,4096,0.6593019333599954,2.1065188447974603,,inf
no_eka,-1,auto_analysis/baseline_no_eka_20251006_033907,kmeans,6,704,4096,0.7158946012895588,1.800000144960712,,inf
no_eka,-1,auto_analysis/baseline_no_eka_20251006_033907,gmm,6,704,4096,0.7248401696179787,1.6050851849068692,,inf
no_eka,-1,auto_analysis/baseline_no_eka_20251006_042033,bisecting_kmeans,6,704,4096,0.26326545635804116,1.5908134885215919,,inf
no_eka,-1,auto_analysis/baseline_no_eka_20251006_042033,kmeans,6,704,4096,0.5029464158385055,1.4024512942997964,,inf
no_eka,-1,auto_analysis/baseline_no_eka_20251006_042033,gmm,6,704,4096,0.42159381487373165,1.5116551931538058,,inf
no_kan,-1,auto_analysis/baseline_no_kan_20251005_103748,bisecting_kmeans,6,704,4096,0.17809081176194796,2.109854632296914,,inf
no_kan,-1,auto_analysis/baseline_no_kan_20251005_103748,kmeans,6,704,4096,0.17073032821039244,1.6908792214448713,,inf
no_kan,-1,auto_analysis/baseline_no_kan_20251005_103748,gmm,6,704,4096,-0.028073998984418445,2.6851970760633943,,inf
no_kan,-1,auto_analysis/baseline_no_kan_20251006_033638,bisecting_kmeans,6,704,4096,0.10050022312174241,2.2705451360876414,,inf
no_kan,-1,auto_analysis/baseline_no_kan_20251006_033638,kmeans,6,704,4096,0.1311337345468745,1.455698290379712,,inf
no_kan,-1,auto_analysis/baseline_no_kan_20251006_033638,gmm,6,704,4096,0.12386031858732126,1.902048927027712,,inf
no_kan,-1,auto_analysis/baseline_no_kan_20251006_041500,bisecting_kmeans,6,704,4096,0.14390967722479864,1.973992107529855,,inf
no_kan,-1,auto_analysis/baseline_no_kan_20251006_041500,kmeans,6,704,4096,0.1378899100136337,1.8082270118680102,,inf
no_kan,-1,auto_analysis/baseline_no_kan_20251006_041500,gmm,6,704,4096,0.07262062920156855,1.7847963994379963,,inf
no_kan,-1,auto_analysis/baseline_no_kan_20251006_072731,bisecting_kmeans,6,6304,4096,0.22762241739069558,2.321705557251446,,inf
no_kan,-1,auto_analysis/baseline_no_kan_20251006_072731,kmeans,6,6304,4096,0.1540357464284302,2.239562946023985,,inf
no_kan,-1,auto_analysis/baseline_no_kan_20251006_072731,gmm,6,6304,4096,0.07724022227341042,2.249724719047131,,inf
dae_kan_attention,1011,auto_analysis/dae_kan_attention_seed1011_hepar,bisecting_kmeans,6,500,4096,0.020447412931712077,5.627949516316349,15.768405710238108,9.087537849403263
dae_kan_attention,1011,auto_analysis/dae_kan_attention_seed1011_hepar,kmeans,6,500,4096,0.02049335448265452,4.416428995371565,16.05804638955275,6.610717341643566
dae_kan_attention,1011,auto_analysis/dae_kan_attention_seed1011_hepar,gmm,6,500,4096,0.01821890832348832,4.580637250603012,16.004228227060654,5.690140214448137
dae_kan_attention,123,auto_analysis/dae_kan_attention_seed123_hepar,bisecting_kmeans,6,500,4096,0.02240301299180637,4.782051009011176,21.582998735456094,8.852506255567414
dae_kan_attention,123,auto_analysis/dae_kan_attention_seed123_hepar,kmeans,6,500,4096,0.013324032872953822,4.922896554925514,22.239563874013996,8.65613174543057
dae_kan_attention,123,auto_analysis/dae_kan_attention_seed123_hepar,gmm,6,500,4096,0.013324032872953822,4.922896554925514,22.239563874013996,8.65613174543057
dae_kan_attention,42,auto_analysis/dae_kan_attention_seed42_hepar,bisecting_kmeans,6,500,4096,-0.001477457221665967,5.459946061698122,19.36533170983004,13.547775567648715
dae_kan_attention,42,auto_analysis/dae_kan_attention_seed42_hepar,kmeans,6,500,4096,0.03604754102832742,3.198188735260787,18.041658711112667,6.019955468002129
dae_kan_attention,42,auto_analysis/dae_kan_attention_seed42_hepar,gmm,6,500,4096,0.018061488099426648,3.8379354318487486,17.693501761236725,7.773655230575886
dae_kan_attention,456,auto_analysis/dae_kan_attention_seed456_hepar,bisecting_kmeans,6,500,4096,0.011648589776869101,5.994751447442794,12.540352270531825,15.752391124955121
dae_kan_attention,456,auto_analysis/dae_kan_attention_seed456_hepar,kmeans,6,500,4096,0.016852864658347715,4.661438785540036,12.887217143523797,7.7448975344040285
dae_kan_attention,456,auto_analysis/dae_kan_attention_seed456_hepar,gmm,6,500,4096,0.016178053260506815,4.120076807613693,12.40117272442305,6.2372730271284444
dae_kan_attention,789,auto_analysis/dae_kan_attention_seed789_hepar,bisecting_kmeans,6,500,4096,0.026377836347099008,5.338644807652398,29.738238126530973,8.92084466569864
dae_kan_attention,789,auto_analysis/dae_kan_attention_seed789_hepar,kmeans,6,500,4096,0.030952110926118537,3.3815227570200483,29.57076373475357,5.156675850239382
dae_kan_attention,789,auto_analysis/dae_kan_attention_seed789_hepar,gmm,6,500,4096,0.02744512298919024,3.7371043467780143,29.45129758222457,6.742578250513264
